Day,Node,Demand
315,Brisbane,30.9895787600457
315,Melbourne,208.88
315,Sydney,187.215
316,APLNG,3383.066
316,Adelaide,48.246
316,Brisbane,43.13756256760336
316,Melbourne,204.654
316,Sydney,207.095
317,APLNG,3370.96
317,Adelaide,44.38
317,Brisbane,40.89878659894204
317,Melbourne,215.065
317,Sydney,209.315
318,APLNG,3444.791
318,Adelaide,42.06
318,Brisbane,38.580893634887154
318,Melbourne,240.875
318,Sydney,211.028
319,APLNG,3440.942
319,Adelaide,49.401
319,Brisbane,38.319259214476766
319,Melbourne,261.716
319,Sydney,219.89
320,APLNG,3472.999
320,Adelaide,49.871
320,Brisbane,34.519293425821736
320,Melbourne,257.481
320,Sydney,211.577
321,APLNG,3447.913
321,Adelaide,41.481
321,Brisbane,27.993316310735143
321,Melbourne,225.286
321,Sydney,191.823
322,APLNG,3501.126
322,Adelaide,39.896
322,Brisbane,30.159241976707346
322,Melbourne,180.478
322,Sydney,190.983
323,APLNG,3523.943
323,Adelaide,47.55200000000001
323,Brisbane,40.795386169318775
323,Melbourne,232.632
323,Sydney,213.617
324,APLNG,3513.574
324,Adelaide,51.698
324,Brisbane,41.918690836589704
324,Melbourne,259.606
324,Sydney,208.286
325,APLNG,3502.117
325,Adelaide,62.309
325,Brisbane,40.76326936920851
325,Melbourne,225.446
325,Sydney,206.812
326,APLNG,3571.242
326,Adelaide,59.962
326,Brisbane,40.88155319400482
326,Melbourne,292.855
326,Sydney,215.296
327,APLNG,3618.089
327,Adelaide,58.499
327,Brisbane,36.49095161795629
327,Melbourne,424.155
327,Sydney,208.272
328,APLNG,3599.639
328,Adelaide,48.08
328,Brisbane,28.350517794888248
328,Melbourne,310.916
328,Sydney,150.655
329,APLNG,3517.241
329,Adelaide,46.006
329,Brisbane,30.4005096458283
329,Melbourne,277.523
329,Sydney,149.56900000000002
330,APLNG,3772.828
330,Adelaide,53.527
330,Brisbane,40.14600013782114
330,Melbourne,266.063
330,Sydney,189.622
331,APLNG,3704.742
331,Adelaide,56.433
331,Brisbane,41.49490574245193
331,Melbourne,264.765
331,Sydney,188.263
332,APLNG,3293.691
332,Adelaide,56.8
332,Brisbane,41.2270046293371
332,Melbourne,240.433
332,Sydney,210.608
333,APLNG,3686.023
333,Adelaide,53.821
333,Brisbane,41.7150233236954
333,Melbourne,234.905
333,Sydney,216.805
334,APLNG,3656.382
334,Adelaide,49.174
334,Brisbane,38.35764270729147
334,Melbourne,217.599
334,Sydney,200.843
335,APLNG,3594.132
335,Adelaide,41.202
335,Brisbane,31.165829492358085
335,Melbourne,157.123
335,Sydney,174.285
336,APLNG,3561.0370000000003
336,Adelaide,44.485
336,Brisbane,33.24558813364423
336,Melbourne,189.585
336,Sydney,168.012
337,APLNG,3527.3720000000003
337,Adelaide,51.943
337,Brisbane,44.52171831869663
337,Melbourne,238.949
337,Sydney,196.559
338,APLNG,3625.92
338,Adelaide,50.739
338,Brisbane,44.94707008601051
338,Melbourne,207.463
338,Sydney,206.567
339,APLNG,3100.2470000000003
339,Adelaide,47.367
339,Brisbane,48.19948359961507
339,Melbourne,189.319
339,Sydney,205.90500000000003
340,APLNG,3600.44
340,Adelaide,44.217
340,Brisbane,53.97189091699271
340,Melbourne,202.117
340,Sydney,212.721
341,APLNG,3702.423
341,Adelaide,43.58
341,Brisbane,57.34650493833385
341,Melbourne,181.351
341,Sydney,201.212
342,APLNG,3755.287
342,Adelaide,39.316
